Latitude,Longitude,Elevation
37.96426000,-78.8996400,841.0
37.96428000,-78.8995900,841.0
37.96431000,-78.8995400,840.0
37.96435000,-78.8994800,839.0
37.96440000,-78.8994600,838.0
37.96445000,-78.8994400,837.0
37.96449000,-78.8994000,836.0
37.96453000,-78.8993600,835.0
37.96456000,-78.8993100,835.0
37.96459000,-78.8992700,834.0
37.96461000,-78.8992100,833.0
37.96465000,-78.8991800,833.0
37.96470000,-78.8991800,832.0
37.96473000,-78.8991400,831.0
37.96478000,-78.8991000,829.0
37.96482000,-78.8990700,828.0
37.96486000,-78.8990400,827.0
37.96492000,-78.8990100,825.0
37.96496000,-78.8989700,824.0
37.96500000,-78.8989600,823.0
37.96505000,-78.8989400,822.0
37.96511000,-78.8989500,821.0
37.96516000,-78.8989400,819.0
37.96521000,-78.8989400,818.0
37.96526000,-78.8989200,817.0
37.96531000,-78.8989000,816.0
37.96535000,-78.8988600,815.0
37.96539000,-78.8988100,813.0
37.96543000,-78.8987600,812.0
37.96545000,-78.8987200,811.0
37.96548000,-78.8986700,810.0
37.96552000,-78.8986400,809.0
37.96555000,-78.8985800,808.0
37.96558000,-78.8985400,806.0
37.96563000,-78.8985100,805.0
37.96568000,-78.8984900,805.0
37.96573000,-78.8984800,804.0
37.96578000,-78.8984600,804.0
37.96582000,-78.8984200,803.0
37.96584000,-78.8983600,803.0
37.96588000,-78.8983200,801.0
37.96593000,-78.8983400,800.0
37.96599000,-78.8983400,799.0
37.96604000,-78.8983500,798.0
37.96608000,-78.8983800,797.0
37.96610000,-78.8984300,797.0
37.96614000,-78.8984600,796.0
37.96619000,-78.8984800,795.0
37.96623000,-78.8985000,793.0
37.96628000,-78.8984800,792.0
37.96632000,-78.8984500,791.0
37.96637000,-78.8984200,789.0
37.96641000,-78.8983900,788.0
37.96645000,-78.8983500,786.0
37.96648000,-78.8983000,785.0
37.96649000,-78.8982300,785.0
37.96650000,-78.8981700,784.0
37.96654000,-78.8981100,783.0
37.96656000,-78.8980600,782.0
37.96659000,-78.8980200,781.0
37.96663000,-78.8979800,780.0
37.96669000,-78.8979900,778.0
37.96674000,-78.8980100,777.0
37.96678000,-78.8980400,776.0
37.96681000,-78.8980800,776.0
37.96685000,-78.8981100,775.0
37.96690000,-78.8981300,774.0
37.96696000,-78.8981400,772.0
37.96700000,-78.8981500,771.0
37.96705000,-78.8981500,770.0
37.96710000,-78.8981200,768.0
37.96713000,-78.8980700,768.0
37.96717000,-78.8980300,767.0
37.96721000,-78.8979900,766.0
37.96723000,-78.8979300,765.0
37.96726000,-78.8978800,764.0
37.96729000,-78.8978300,762.0
37.96731000,-78.8977800,761.0
37.96734000,-78.8977300,760.0
37.96738000,-78.8976900,759.0
37.96742000,-78.8976900,757.0
37.96747000,-78.8976600,756.0
37.96750000,-78.8976100,755.0
37.96754000,-78.8975600,753.0
37.96758000,-78.8975400,751.0
37.96763000,-78.8975100,749.0
37.96768000,-78.8974900,747.0
37.96772000,-78.8974500,744.0
37.96776000,-78.8974100,742.0
37.96780000,-78.8973900,741.0
37.96785000,-78.8973500,739.0
37.96786000,-78.8972800,738.0
37.96785000,-78.8972100,738.0
37.96786000,-78.8971500,737.0
37.96788000,-78.8970900,736.0
37.96790000,-78.8970400,735.0
37.96791000,-78.8969700,735.0
37.96794000,-78.8969200,734.0
37.96799000,-78.8969100,733.0
37.96805000,-78.8969000,732.0
